token_final,label
"['목포', '안과', '드림', '렌즈', '사기', '저', '목포', '안과', '드림', '렌즈', '신청', '정상', '접수', '검사', '병원', '직원', '설명', '병원', '직원', '저', '먼저', '해당', '계좌', '렌즈', '값', '일후', '렌즈', '때', '할인', '금액', '설명', '일후', '저', '돈', '드림', '렌즈', '눈', '더', '또', '차후', '제', '병원', '접수', '사실', '알', '병원', '항의', '난', '분명', '접수', '당신', '누락', '더', '어이', '드림', '렌즈', '접수', '직원', '설명', '접수', '진료', '왜', '나', '드림', '렌즈', '자기', '불법', '시술', '고서', '병원', '저', '욕', '이', '일', '분명', '제', '진료', '모습', '렌즈', '모습', '제', '불법', '시술', '말', '저', '병원', '안', '에세', '남자', '직원', '명', '여자', '직원', '명', '사기', '저', '경찰서', '소비자고발', '센터', '보건소', '등', '신고', '접수', '이유', '조치', '저', '분명', '접수', '병원', '직원', '고의', '누락', '저', '피해', '분명', '병원', '측은', '사태', '대비', '접수', '고의', '누락', '저', '돈', '갈취', '병원', '직원', '처벌', '부탁', '또', '저', '피해자', '명', '정도', '피해자', '병원', '책임', '말', '원장', '여자', '직원', '로', '피해', '본인', '드림', '렌즈', '접수', '모습', '말', '정상', '적', '안과', '접수', '검사', '렌즈', '착용', '때', '시간', '달이', '사실', '알', '저', '단', '분만', '검사', '돈', '갈취', '간', '목포', '안과', '직원', '처벌', '청와대', '답변', '요청', '게시', '물의', '일부', '내용', '국민', '청원', '요건', '위배', '관리자', '수정']",No
"['목포시', '오염', '실태', '를', '아십니까', '지금', '목포시', '상황', '말', '공무원', '시민', '환경오염', '지적', '부분', '시정', '시민', '폐수', '문제', '골', '머리', '지경', '저', '고향', '폐수', '모습', '더', '방', '관할', '수', '의원', '목포시', '공무원', '일', '조사', '것', '제', '고향', '생각', '정도', '폐수', '문제', '인지', '정부', '목포시', '행정', '바로', '이', '입', '난', '보고', '도저히', '이해', '목포시', '오염수', '관련', '바다', '오염', '것', '낼', '생각', '안', '시민', '고소', '민사소송', '협박', '현재', '목포시', '횡포', '밑', '관련', '정보', '조사', '분', '페이스북', '링크', '게시', '물의', '일부', '내용', '국민', '청원', '요건', '위배', '관리자', '수정']",No
"['탄원서', '원', '발신', '수익권', '증서', '상의', '순위', '질권', '채권자', '대표', '주', '회장', '부산시', '로', '길', '주', '고문', '부산시', '군', '읍', '리', '주', '총무', '대구시', '군', '읍', '리', '길', '수신인', '청와대', '국민', '청원', '실', '조치', '및', '요구사항', '첫째', '주', '은', '준공', '이후', '미불', '채권자', '총', '채권', '액', '원', '즉시', '직', '불하', '여야', '총', '도급', '사비', '중', '급사', '대한', '지체상금', '명목', '지급', '보류', '원', '최', '우선', '집행', '동시', '잔', '채권', '원', '당', '현장', '미분', '물건', '액', '원', '오피스텔', '상가', '대한', '담보', '실행', '할인', '매각', '통', '채권자', '조속', '직접', '지급', '촉구', '둘째', '하도급', '거래', '정화', '관', '법률', '제', '제', '항', '제', '호', '및', '건설', '산업', '기본', '법', '제', '제', '항', '제', '의거', '시행', '사의', '지위', '탁사', '급사', '하도급', '성금', '공정', '체적', '관리', '감독', '주체', '이자', '발주', '처', '로서', '채권자', '대한', '성금', '자금', '집행', '공기', '장기간', '미지', '성금', '지급', '확인', '업무', '해태', '방조', '책임', '면', '수', '법', '위반', '사항', '대하', '책임', '실질', '조치', '사실', '인과관계', '탁자', '겸', '행사', '주', '이하', '탁사', '이', '발주', '울산', '광역시', '소재', '주상', '복합', '아파트', '의', '원도', '급사', '주', '이하', '원수', '급사', '하도급', '및', '자재', '납품', '계약', '체결', '하수', '급사', '중', '준공', '이후', '현재', '미지', '사비', '채권', '보전', '위', '급사', '우선', '수익권', '대한', '질권', '설정', '업체', '이하', '채권자', '경과', '사항', '탁사', '급사', '공정', '관리', '능력', '부재', '부실', '지연', '준공', '책임', '회피', '준공', '후', '상식', '이하', '불법', '비도덕적', '행태', '일관', '당', '현장', '착공', '준공', '계약', '공기', '일', '지연', '준공', '현장', '탁사', '사도', '계약서', '급사', '대한', '공정', '관리', '의무', '명시', '업무', '해태', '방조', '일삼', '다가', '절대', '공기', '미명', '약자', '채권자', '희생', '강요', '하반기', '채권자', '공사', '기간', '중', '개월', '동안', '미불', '채권', '상존', '탁사', '추가', '돌관', '공사', '비용', '자체', '자금', '선', '부', '사력', '준공', '탁사', '노력', '전혀', '최고', '수혜자', '지위', '누리', '확언', '건데', '채권자', '일방', '희생', '준공', '대한', '의지', '상식', '도덕성', '탁사', '급사', '예정자', '계약해지', '손해배상', '요구', '로부터', '것', '결과', '막대', '자금', '부담', '금융', '그룹', '사인', '신탁', '사의', '명예', '인도', '회복', '추락', '부도', '회피', '수', '것', '준공', '후', '채권자', '현실', '채불', '성금', '원인', '부채', '지속', '증가', '임금', '지연', '사태', '인원', '감축', '고통', '개인', '회사', '존속', '신용', '하원', '신규', '수주', '영업', '파산', '직면', '형국', '상황', '데', '금융', '그룹', '사인', '탁사', '급사', '준공', '후', '채불', '노임', '선', '해결', '요구', '묵살', '돌관', '공사', '추가', '사비', '협상', '응', '수수방관', '탁사', '채권자', '고충', '회피', '무대', '책', '무책임', '시점', '실기', '진행', '중단', '일삼', '뿐', '탁사', '자신', '채권', '확보', '몰두', '당', '현장', '준공', '공로', '이자', '희생', '인', '채권자', '채권', '권리', '외면', '뿐', '채권', '액', '회수', '정표', '채권', '확보', '담보', '수', '그', '무엇', '예측', '수', '상황', '위법', '불법', '사항', '대한', '감사', '지시', '엄중', '조치', '요구', '공정거래법', '위반', '사항', '신탁', '사의', '방조', '방임', '사례', '다수', '점', '위법성', '책임', '대한', '인식', '법', '위반', '사항', '대하', '체적', '감사', '책임', '실질', '조치', '신탁', '사의', '업무', '범위', '도급계약', '도급', '로서', '공정', '관리', '분양', '업무', '수행', '및', '분양', '금', '등', '자금', '수납', '대금', '지출', '등', '자금', '집행', '등', '의', '업무', '주관', '신탁', '부동산', '환가', '처분', '권리', '의무', '외면', '탁사', '급사', '도급계약', '제', '대금', '지급', '제', '하도급', '대금', '직접', '지급', '위반', '탁사', '원도', '급사', '급사', '사비', '적기', '지급', '사비', '직접', '지급', '수', '의적', '업무', '해태', '방조', '일삼', '급사', '하수', '급사', '대한', '체불', '기성', '도외', '시한', '결과', '초래', '사전', '사후', '방조', '방임', '탁사', '급사', '도급계약', '제', '사비', '선급금', '위반', '원도', '급사', '선급금', '원', '이', '계약', '목적', '외', '사용', '수', '노임', '지급', '및', '자재', '확보', '우선', '사용', '선급금', '사용', '조건', '위', '배한', '경우', '즉시', '선급금', '잔액', '반환', '함', '불구', '탁사', '급사', '공모', '위탁', '겸', '수익', '주', '의', '토지', '비', '잔금', '지급', '용도', '사용', '음', '사전', '사후', '인지', '외면', '선급금', '목적', '외', '사용', '방임', '방조', '원인', '현재', '하도급', '사의', '공사', '원가', '노임', '재료', '비', '경비', '등', '체', '불의', '직접', '원인', '제공', '것', '결과', '탁사', '급사', '대한', '관리', '감독', '부실', '시행', '주체', '로서', '미지', '사비', '채불', '임금', '자재', '비', '조속', '직접', '지급', '의무', '이', '또한', '책임', '회피', '하도급', '거래', '정화', '관', '법률', '위반', '설계', '변경', '금지', '야간', '공사', '등', '사유', '추가', '비용', '불', '인정', '우월', '지위', '갑', '탁사', '원도', '급사', '간', '계약서', '탁사', '원도', '급사', '하수', '급사', '간', '계약서', '원도', '급사', '의', '책임', '사유', '돌관', '사비', '미지', '불가항력', '통제', '불능', '기간', '연장', '요구', '불', '인정', '등', '불법', '사례', '계약', '빈번', '결론', '준공', '후', '온', '채권자', '더', '이상', '힘', '여력', '신탁', '사의', '설계', '변경', '및', '돌관', '사비', '대한', '지급', '책임', '차체', '질권', '설정', '진성', '채권자', '채권', '액', '원', '조속', '선지', '직불', '촉구', '또한', '상기', '조치', '및', '요구사항', '대하', '책임', '답변', '진정', '유관', '감독', '기관', '금융감독원', '신탁', '사의', '업무', '지침', '위반', '여부', '대한', '감사', '실시', '정거', '위원회', '행사', '원수', '급사', '원수', '급사', '하수', '급사', '간의', '도급계약', '상의', '불공정', '거래', '위반', '사항', '지시', '로서', '위법', '사항', '민원', '대한', '채권자', '절실', '민원', '조속', '해결', '시기', '게시', '물의', '일부', '내용', '국민', '청원', '요건', '위배', '관리자', '수정']",No
"['확실한', '코로나', '예방', '을', '위해', '이중', '마스크', '착용', '을', '강력하게', '알려야', '합니다', '코로나', '확산', '방지', '예방', '위', '가장', '방법', '마스크', '착용', '상식', '그', '예방', '효과', '자랑', '마스크', '장만', '착용', '것', '이중', '두', '장', '겹', '착용', '본인', '더', '예방', '효과', '볼', '것', '타인', '볼', '때', '더', '수', '저', '직장', '동료', '뜻', '지난', '주말', '간', '이중', '마스크', '착용', '결과', '생각', '호흡', '더', '느낌', '오히려', '습기', '덜', '차고', '착용', '이중', '마스크', '다시', '과정', '장점', '마스크', '장만', '것', '두', '장', '겹', '것', '단', '예방', '효과', '지금', '당장', '온', '국민', '실천', '널리', '마스크', '두', '장', '겹', '점', '수', '그', '부분', '감안', '예방', '효과', '초점', '즉시', '실천', '생각', '지금', '코로나', '대한', '가장', '백신', '마스크', '착용', '그', '백신', '더', '이중', '접종', '국민', '모두', '불안감', '일상생활', '쇼', '지금', '정부', '국민', '권고', '국민', '모두', '이중', '마스크', '착용', '코로나', '종식', '희망']",No
"['긴급', '돌봄과', '긴급', '보육', '의', '구체화', '와', '보육', '교사', '대상', '코로나', '검사', '실행', '철회', '를', '요구', '합니다', '저', '유치원', '근무', '교사', '비록', '보육', '교사', '현재', '보육', '교사', '대상', '공문', '글', '코로나', '전', '국민', '전', '세계', '분', '어려움', '시기', '생각', '보육', '교사', '유치원교사', '또한', '코로나', '관련', '직업', '맞벌이', '가정', '생활', '유아', '대상', '긴급', '보육', '긴급', '유아교육', '기관', '대한', '이해', '돕기', '위해', '다시', '번', '설명', '긴급', '보육', '긴급', '어린이집', '유치원', '코로나', '로부터', '보호', '유아', '맞벌이', '가정', '등', '이유', '가정', '보호', '경우', '유아교육', '기관', '보호', '것', '수', '저', '청원', '두', '가지', '요약', '다음', '첫째', '구체', '긴급', '보육', '긴급', '대책', '요구', '아동', '아동복지법', '제', '출생', '수', '복지', '보장', '구체', '긴급', '보육', '방식', '유아', '보호', '유아교육', '기관', '보호', '어려움', '지속', '유아', '등원', '가정', '경우', '사적', '모임', '자제', '주말', '가족', '실', '거주지', '끼리', '시간', '상황', '등원', '수', '권고', '조부모', '친척', '등', '만남', '통해', '코로나', '노출', '경우', '때문', '조치', '시점', '둘째', '보육', '교사', '코로나', '검사', '의무', '철회', '요구', '교사', '임', '불구', '직업', '정신', '유아', '건강', '안전', '위해', '매일', '출근', '유아', '건강', '안전', '때문', '매일', '자가진단', '시행', '건강', '체크', '식사', '시간', '제외', '모든', '시간', '마스크', '착용', '등', '방역', '수칙', '생활', '교사', '또한', '코로나', '노출', '수', '상황', '교사', '매일', '생활', '유아', '건강', '안전', '위해', '코로나', '교사', '가정', '때문', '내', '가정', '내', '아이', '상황', '임', '불구', '긴급', '보육', '직업', '정신', '발휘', '아이', '건강', '안전', '위해', '노력', '얼마', '전', '어린이집', '교사', '인권', '무시', '공문', '소식', '접', '공문', '내용', '코로나', '검사', '대상자', '확', '진자', '밀접', '접촉', '확', '진자', '동선', '겹침', '코로나', '관련', '증상', '등', '불구', '어린이집', '교사', '이유', '코로나', '검사', '것', '코로나', '검사', '대상자', '교사', '코로나', '검사', '동의', '강제', '시행', '것', '인권', '침해', '일', '때문', '코로나', '검사', '교사', '실시', '것', '철회', '코로나', '검사', '코로', '증상', '교사', '대상', '시행', '것', '교사', '관련', '증상', '경우', '것', '경우', '유아', '보호', '목적', '우선', '코로나', '검사', '후', '결과', '수', '것', '생각', '교사', '유아', '건강', '바이러스', '유아', '건강', '안전', '위해', '매일', '자가진단', '통해', '건강', '체크', '아이', '보호', '교사', '노력', '인권', '무시', '공문', '리지', '이기', '교사', '이', '자리', '코로나', '그날', '아이', '것', '교사', '인권', '그것', '인간', '인간', '답', '살기', '위', '기본', '권리', '글', '청원', '동의', '분', '감사', '모두', '하루', '코로나', '우리', '아이', '마스크', '날', '바']",No
"['수도권', '5', '인', '집합', '금지', '미성년', '및', '장애', '자녀', '를', '둔', '가정은', '예외', '로', '해주세요', '이번', '겨울', '코로나', '상황', '악화', '그로', '사회', '거리', '기와', '방역', '최', '우선', '과제', '대두', '상황', '매우', '시기', '우리', '모두', '노력', '시기', '시행', '수도권', '인', '이상', '사적', '모임', '집합', '금지', '취지', '시행', '행정명령', '그', '취지', '지향', '점', '번', '이해', '또', '사회', '교류', '줄', '코로나', '고통', '희생', '사람', '수', '최소한', '동의', '이번', '행정명령', '조부모', '육아', '도움', '주중', '수도권', '지방', '생활', '부부', '주말', '가족', '조부모', '육아', '참여', '등', '사회', '가족', '형태', '고려', '동창회', '등', '단순', '친목', '모임', '가족', '집합', '금지', '대상', '삼고', '예외', '규정', '둘', '필요', '생각', '주민등록', '거주지', '가족', '예외', '하나', '이', '역시', '실질', '가족', '제외', '피치', '사정', '주말', '부모님', '만날', '수', '아이', '조부모', '주민등록', '거주', '육아', '조부모', '단순', '친목', '위', '동호회', '동창회', '수도권', '인', '이상', '사적', '모임', '의', '동일', '선상', '뭉뚱그려', '취급', '무리', '생각', '수', '더욱이', '지금', '초등학교', '유치원', '등교', '등원', '중지', '공적', '섹터', '육아', '케어', '사실', '상태', '또', '곧', '시작', '겨울방학', '맞벌이', '부모', '수', '조부모', '등', '사적', '역량', '총동원', '당국', '방역', '노력', '힘', '보태', '상황', '상황', '배제', '채', '산술', '인', '이상', '사적', '모임', '금지', '것', '이제', '애가', '명', '라면', '명', '이어도', '조부모', '가족', '삼촌', '이모', '살', '아이', '출근', '얘기', '수도권', '이상', '집합', '금지', '행정명령', '예외', '조항', '미성년', '양육', '보호', '목적', '가족관계등록부', '상의', '직계', '비', '존속', '은', '예외', '해주시', '청원', '또한', '미성년', '케어', '가족', '도움', '반드시', '장애', '가정', '역시', '예외', '포함', '생각', '목적', '이', '제한', '결코', '사적', '친목', '도모', '위', '만남', '육아', '맞벌이', '병행', '대한민국', '부모', '냉엄', '현실', '직시', '것임']",No
"['고교', '수시', '블라인드', '제도', '폐지', '출신', '고등학교', '블라인드', '처리', '모든', '고등학교', '생각', '시행', '학생', '강남', '입시', '율', '노리', '아주', '빡센', '경쟁', '피땀', '지금', '성적', '그', '강남', '학생', '지방', '경쟁률', '덜', '학교', '동일', '취급', '건', '말', '안', '오히려', '공부', '실력', '등', '판단', '때', '거', '그', '제도', '실시', '그', '해', '고등학교', '선택', '학생', '적용', '갑자기', '지금', '실시', '강남', '학교', '애', '뭐', '이', '제도', '오히려', '인재', '악', '제도', '바로', '취소', '좀', '더', '이후', '실행', '학생', '이', '제도', '대해', '알', '고등학교', '선택', '게시', '물의', '일부', '내용', '국민', '청원', '요건', '위배', '관리자', '수정']",No
"['3', '단계', '격상', '메뉴얼', '세부', '내용', '개정', '바랍니다', '코로나', '바이러스', '단계', '별', '치침', '누구', '위', '메뉴얼', '인지', '단계', '단계', '격상', '한지', '주', '확', '진자', '감소', '오히려', '급증', '병상', '부족', '의료', '진', '부족', '병원', '문턱', '못', '하늘', '나라', '분', '의료', '진', '소식', '참으로', '가슴', '일', '주위', '일어나고', '확', '진자', '증가', '단계', '격상', '기준', '도달', '메뉴얼', '지침', '단계', '조정', '그', '메뉴얼', '누구', '위', '메뉴얼', '인지', '국민', '시기', '속', '개선', '방안', '매번', '검토', '단계', '말로', '시간', '지체', '국민', '불안감', '피로', '감', '오히려', '더', '거', '경제', '부분', '반영', '고심', '것', '알', '다만', '지속', '발생', '음식점', '사우나', '방', '술집', '교회', '규제', '상태', '모임', '약속', '여행', '기타', '등', '자제', '촉구', '무슨', '의미', '국민', '규', '제안', '테투리', '범위', '안', '말', '누구', '탓', '병상', '뭐', '정작', '발생', '원인', '대한', '차단', '말', '단계', '별', '업종', '대한', '규제', '형평성', '부분', '매뉴얼', '대한', '개정', '진행', '요청', '체육', '시설', '경우', '개인', '레슨', '대해', '허용', '수', '학원', '경우', '거리', '두기', '및', '최소', '인원', '대해', '선', '허용', '검토', '요청', '그', '외', '기타', '시설', '대해', '서도', '재', '확인', '및', '연구', '검토', '요청', '주위', '부분', '사람', '점점', '컨트롤', '타워', '역할', '기관', '현장', '답사', '검토', '후', '안', '규정', '의문', '현', '현장', '현물', '보고', '현상', '파악', '분석', '입', '각하', '운영', '지휘', '관', '판단', '미스', '및', '결정', '지체', '도', '국민', '목숨', '도', '치료', '못', '목숨', '수', '도', '대부분', '국민', '공감', '매뉴얼', '제정', '항목', '대해', '개정', '정상', '단계', '격상', '진행', '국민', '정치', '부분', '대해', '이용', '국민', '소통', '컨트롤', '타워', '중심', '역활', '바램', '잘잘못', '위해', '글', '안정화', '일상', '생활', '마음', '청원']",No
"['피싱', '사기', '제발', '도와주세요', '국가', '에서', '어려운', '사람', '들', '을', '도와주셔야', '됩니다', '청원', '정말', '코로나', '시기', '사기', '햇습니', '사기', '개요', '온갖', '상', '인스타그램', '페이스북', '카톡', '오픈', '채팅', '까페', '등등', '수익', '주식', '사기', '등', '방면', '제테크', '부업', '돈', '요구', '보이스피싱', '메신저', '금전', '구함', '이', '성행', '하루', '명도', '지금', '벌써', '이', '사람', '돈', '천억', '경찰서', '신고', '조치', '취', '또한', '투자', '사기', '사기', '금융', '사기꾼', '계좌', '급정지', '전화', '보이스피싱', '급정지', '왜', '상', '사기피해', '급정지', '신청', '왜', '피해', '보상', '피해', '제도', '보이스피싱', '해당', '일반', '사기', '투자', '사기', '리딩', '사기', '등등', '피해', '구제', '정말', '하루하루', '지옥', '얼마나', '더', '피해자', '사안', '국가', '유심', '요', '저', '피해', '보이스피싱', '생각', '남', '이보', '링크', '거의', '대부분', '불법', '도박', '사이트', '투자', '홈페이지', '무심코', '제발', '사기', '보이스피싱', '분류', '피해', '분', '사기', '분', '이', '제발', '좀', '돈', '신분', '도해']",No
"['가정', '어린이집', '의', '비애', '저', '가정', '어린이집', '원장', '어린이집', '비영리', '사업', '분리', '사업자', '등록증', '고유', '번호', '증', '운영', '곳', '사실', '이제', '이', '고유', '번호', '증', '의미', '저', '그냥', '어린이집', '분리', '생각', '지대', '어둠', '곳', '내', '전혀', '지금', '저', '비영리', '사업', '목적', '아이', '전인', '발달', '도모', '보호', '교육', '기관', '자부심', '아이', '위해', '부모님', '위해', '교사', '위해', '전문', '교육', '속', '질', '양육', '도움', '고자', '노력', '최근', '재교육', '전문성', '높이', '저', '역량', '철학', '교육', '관', '성립', '보수', '교육', '직무', '교육', '신청', '고용', '보험', '가입', '지원', '또한', '배움', '대한', '갈증', '변화', '시대', '교육인', '및', '운영자', '위해', '산', '업체', '계약', '학과', '진학', '준비', '제', '산', '업체', '계약', '학과', '선택', '이유', '일과', '가정', '공부', '위', '접근성', '모두', '것', '접근성', '고집', '수', '상황', '제', '수', '것', '고용', '보험', '가입', '근로', '복지', '공단', '문의', '고용', '보험', '사업자', '등록증', '저희', '고유', '번호', '증', '교육부', '고용', '보험', '가입', '자', '입학', '근로', '복지', '공단', '교육부', '교육부', '근로', '복지', '공단', '문의', '하라', '말', '계속', '반복', '수', '상황', '두', '기관', '업무', '특성', '은밀', '보이지', '것', '제', '개인', '견해', '인', '사업자', '인', '미만', '사업자', '왜', '고유', '번호', '증', '겸직', '원장', '요', '제', '퇴직', '고용', '보험', '가입', '것', '교육', '가입', '왜', '비영리', '사업', '어린이집', '말로', '모두', '동등', '재교육', '기회', '주어', '요', '보육', '질', '위', '어린이집', '재교육', '기회', '문', '생각', '교육사상', '아이', '부모', '교사', '또', '고유', '번호', '증', '비영리', '사업', '일반', '사업', '때문', '코로나', '지원', '금도', '제한', '보육료', '지원', '아이', '보육료', '지원', '아이', '기본', '운영', '교직원', '급여', '아이', '영유아보육법', '세', '정원', '비율', '운영', '개', '법', '적용', '비영리기관', '기본', '운영', '수', '지원', '생각', '이', '부분', '고유', '번호', '증', '제약', '가정', '어린이집', '비영리', '사업', '사업', '것', '비영리', '사업', '인원', '제한', '규제', '비영리', '사업', '규모', '교육', '기회', '가정', '어린이집', '분명', '기관', '대한민국', '새싹', '담당', '가정', '어린이집', '복지사', '지대']",No
