1-5_nouns,2-2_nouns,2-3_nouns,2-4_nouns,학교밖_nouns,5-1_nouns,5-2_nouns,6-1_nouns
[],[],[],[],['기타'],[],[],[]
['엔트리'],[],[],[],[],"['일', '해결', '위해', '선', '학습']","['인간', '본능', '행동', '인공', '지능', '정해진', '만']",['휴대폰']
['정보'],[],[],[],[],"['인간', '로봇', '인간', '행동', '입력', '거의', '대부분', '인간', '공통점']","['창의성', '상상', '차이']","['감정', '표현', '강아지', '로봇']"
['정보'],"['초등학교', '컴퓨터', '실']",[],"['최근', '학교', '수업']",[],['인간'],"['내', '직접', '기분']",['서빙']
['엔트리'],[],[],[],[],['생각'],"['감정', '유무']","['유튜브', '시계', '등등']"
[],[],[],[],[],[],[],"['빅스', '비', '시리', '등', '핸드폰', '내장', '시스템']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],"['인간', '알', '것', '인공', '지능']",['로봇청소기']
[],[],[],[],[],[],"['자신', '감정', '표현']",[]
"['실과', '정보']",[],[],[],[],['대로'],"['인간', '감정', '인공', '지능']",['휴대폰']
"['스크레치', '엔트리']",[],[],[],[],['지식'],"['스스로', '생각']","['냉장고', '컴퓨터', '스마트폰']"
"['과학', '영어', '수학', '정보', '기', '도덕', '미술', '국어', '진로', '제육']",[],[],[],[],[],[],[]
['정보'],"['초등학교', '학년', '살']",['개월'],[],[],[],"['인공', '지능', '생각']","['컬', '퓨터']"
['소프트웨어'],"['초등학교', '학년', '살']",[],[],[],[],[],"['그', '데']"
['스크래치'],[],[],[],[],[],[],"['요리', '로봇']"
[],['살'],[],[],[],[],[],"['스마트', '에어컨']"
['마이크로소프트웨어'],[],[],[],[],['예'],['예'],['시리']
"['영어', '수학', '사회', '정보', '과학', '미술', '기', '채육', '음악', '동아리', '도덕', '봉사']",[],[],[],[],"['인공', '지능', '철', '인간', '살']",[],[]
"['수학', '사화', '과학', '영어', '체육', '미술', '음악', '국어']",[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
['정보'],[],[],[],[],"['공통점', '결과']","['컴퓨터', '랜덤', '값', '시간', '등', '공식', '사람', '인공', '지능', '보나', '랜덤', '값']",[]
"['정보', '로봇', '과학']",[],[],[],[],[],['모름'],"['로봇', '청소기']"
"['수학', '과학', '외부', '강사', '강의']","['초등학교', '학년']",['약'],[],[],"['학습', '통해', '정보', '습득', '문제', '해결', '능력', '예측', '추론', '등', '사고']","['인공', '지능', '수리', '계산', '프로그래밍', '국한', '단편', '사고', '인간', '종합', '사고', '가능']","['휴대폰', '등']"
[],[],[],[],[],['행동'],['생각'],[]
[],"['초등학교', '학년']",[],[],[],"['생각', '수']","['사람', '감정', '인공', '지능', '스스로', '감정']",['정수기']
"['기', '정보']",[],[],[],[],[],[],"['아리야', '시리']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
[],"['중학교', '학년']",['개월'],[],[],[],[],"['인공', '지능', '스피커']"
"['주제', '선택']",[],[],[],[],[],[],['냉장고']
['정보'],[],[],[],[],['생각'],"['사람', '창의', '생각']","['인공', '지능', '스피커']"
['엔트리'],[],[],[],[],"['문제', '해결', '학습']","['인공', '지능', '입력', '데이터', '로만', '문제', '해결', '인간', '자신', '그', '문제', '해결', '방안', '생각']","['텔레비전', '핸드폰', '등']"
