token_final,label
"['피싱', '사기', '를', '예방', '하기', '위해', '중국', '공안', '과', '공조', '하여', '함정수사', '를', '진행', '부탁', '합니다', '피싱', '사기', '예방', '위해', '중국', '공안', '공조', '함정수사', '진행', '부탁', '보이스피싱', '메신저', '피싱', '대부분', '해외', '진행', '중국', '공안', '공조', '함정수사', '진행', '필요']",No
"['벼랑', '끝', '에', '내', '몰린', '서민', '자영', '업자', '들', '을', '살려주십시오', '대한민국', '법', '건물', '주', '위', '법', '국회의원', '건물', '주', '사회', '거리', '두기', '위해', '내일', '가게', '이후', '포장', '배달', '홀', '손님', '월세', '이자', '정지', '삭감', '이', '시국', '월세', '달라', '정말', '인간같쟎', '건물', '주도', '월세', '내기', '좀', '달라', '대출', '월세', '내', '짐승', '건물', '주도', '영업', '달', '중지', '지원', '금은', '겨우', '당신', '월세', '밥', '살수', '법', '라카', '생계', '나', '이', '정말', '국민', '위', '나라', '돈', '건물', '주', '위', '나라', '법', '영업정지', '법', '건물', '주', '월세', '정지', '법', '은행', '대출', '자도', '정지', '법', '세금', '정지', '법', '고위', '공무원', '월급', '삭감', '월세', '건물', '주', '세금', '폭탄', '투하', '그', '세금', '해당', '건물', '입자', '지원', '법', '법', '말', '당신', '은', '우리', '뼈', '일해', '세금', '돈', '걱정', '박', '박', '월급', '받아싀', '걱정', '사', '우리', '서민', '삶', '뭘', '도대체', '어쩌란말입', '왜', '사람', '벼랑', '끝', '내', '기만', '살', '낼', '방법', '외면', '국민', '정부', '나라', '그', '국민', '생각', '입', '이', '정말', '국민', '위', '나라', '입', '당신', '도대체', '누구', '위해', '일', '사람', '건의', '코로나', '방지', '대책', '법', '영업정지', '영업', '단축', '법', '건물', '주', '월세', '정지', '삭감', '법', '은행', '대출', '자도', '정지', '삭감', '법', '세금', '당분', '납부', '정시', '법', '고위', '공무원', '월급', '삭감', '당신', '주인', '우리', '서민', '시오']",No
"['동해시', '해군', '인권', '없는', '퇴근', '금지', '철회', '해주세요', '동해시', '현재', '코로나', '로', '학교', '병원', '발', '코로나', '감염', '확', '진자', '수가', '늘', '어감', '전', '동해', '시민', '조사', '진행', '현재', '기점', '명', '확산', '동해시', '해군', '사령부', '지구', '군항', '지구', '곳', '사령부', '지구', '코로나', '명', '확진', '걸', '압니', '사령부', '지구', '검사', '군항', '지구', '검사', '동해시', '해군', '이면', '해군', '사령부', '지구', '검사', '군항', '지구', '무작정', '퇴근', '금지', '명령', '퇴근', '상황', '밀접', '접촉', '증상', '발현', '자가', '격리', '검사', '동해시', '군항', '지구', '학교', '발', '코로나', '감염', '접촉', '아무', '증상', '검사', '결과', '퇴근', '금지', '명령', '출동', '하루', '배', '대기', '밀접', '접촉', '자도', '저녁식사', '제공', '주지', '수당', '임금', '책정', '코로나', '접촉', '의심', '검사', '사령부', '지구', '진행', '배', '무작정', '퇴근', '금지', '배', '대기', '해군', '가족', '달', '일주일', '이상', '학교', '발', '코로나', '접촉', '가족', '해군', '가족', '가장이', '날씨', '식사', '제공', '무작정', '배', '대기', '퇴근', '금지', '명령', '도무지', '이해', '코로나', '의심', '증상', '밀접', '접촉', '이면', '검사', '먼저', '자가', '격리', '집', '수', '그게', '배', '대기', '접촉', '의심', '해군', '코로나', '검사', '실시', '식사', '제공', '퇴근', '금지', '날짜', '임금', '책정', '저녁', '식사', '임금', '대우', '동해시', '해군', '곳', '뿐', '인권', '한민', '해군', '타', '지역', '군인', '퇴근', '동해', '해군', '코로나', '대처', '방안', '코로나', '대한', '검사', '저녁식사', '퇴근', '금지', '업무', '장선', '급여', '책정', '인권', '처사', '생각', '동해시', '시민', '전체', '대상', '동해시', '해군', '동해시', '시민', '검사', '무증상', '감염', '이유', '강제', '시간', '퇴근', '금지', '철회', '처리', '한민', '해군', '이기전', '나라', '시민', '누군가', '남편', '누군가', '아빠', '누군가', '아들', '인권', '퇴근', '금지', '정당화', '무작정', '퇴근', '금지', '동해시', '전', '시민', '사인', '해군', '검사', '대우', '해군']",No
"['수도권', '에서', '어린이', '전용', '수영장', '을', '운영', '하는', '사', '업주', '입니다', '저', '혼자', '어려움', '것', '생각', '더', '여력', '사회', '구성원', '짊어져', '책임', '희생', '판단', '지금', '정부', '적극', '관심', '대처', '요구', '바', '분명', '정의', '사람', '먼저', '이번', '정부', '정책', '의심', '건', '다만', '어린이', '전용', '수영장', '운영', '사업', '로서', '몇', '가지', '호소', '내용', '청원', '글', '생활', '체육', '저변', '가장', '활동', '인구', '보유', '종목', '수영', '수', '정도', '좀', '더', '전문', '전용', '시설', '파생', '것', '어린이', '전용', '수영장', '세월호', '사건', '이후', '아이', '수상', '안전', '대한', '관심', '폭발', '적', '그', '필요성', '대두', '생존', '수영', '필수', '교과목', '선정', '과정', '공공기관', '감당', '수', '수요', '어린이', '전용', '수영장', '대체', '지역', '사회', '환영', '시설', '자리', '잡고', '또한', '체육', '업계', '고용', '형태', '완전', '고용', '형태', '김', '명', '명', '단위', '직원', '채용', '고용', '창', '크게', '이바지', '현재', '어린이', '전용', '수영장', '머', '폐업', '절차', '상황', '영업', '말', '것', '사업자', '대출', '및', '업주', '개인', '돈', '융통', '버티고', '반복', '체육', '시설', '집합', '금지', '조치', '그', '한계', '상황', '정부', '지원', '재난', '원금', '융자', '제도', '지원', '대상', '해당', '그', '사유', '대부분', '인', '미만', '용인', '일정', '금액', '이하', '매출', '조건', '사업', '규모', '로만', '평가', '지원', '대상', '때문', '코로나', '피해', '사업', '규모', '대상', '선정', '건', '납득', '어린이', '전용', '수영장', '겉', '보기', '사업', '규모', '보이', '실제', '매출', '영업', '이익', '편입', '니', '매출', '규모', '작', '영업', '이익', '더', '다른', '사업', '원금', '대상', '선정', '때', '박탈', '감', '또한', '영업', '중단', '시설', '유지', '자금', '일반', '사업', '규모', '임대료', '각종', '세금', '수수료', '및', '고정', '비용', '외', '수질', '관리', '난방', '수도', '등', '일반', '사업', '몇', '배', '이상', '요금', '부과', '운영', '수', '설비', '시설', '유지', '외', '고용', '유지', '위해', '급여', '일부분', '보전', '급여', '이상', '지급', '고용', '유지', '원금', '수', '지원', '금은', '일정', '부분', '그', '사업', '주가', '선지', '추후', '수', '현재', '로서', '선지', '자금', '역시', '고용', '유지', '지원', '금은', '재난', '원금', '정책', '혜택', '상황', '대비', '업주', '근로자', '납부', '고용', '보험료', '것', '지금', '그', '재난', '원금', '혜택', '수', '대상', '해도', '도움', '액수', '게', '사실', '제한', '조치', '대한', '재', '검토', '세제', '혜택', '원금', '대상', '확대', '및', '증액', '등', '현실', '대책', '즉시', '마련', '정리', '어린이', '전용', '수영장', '환영', '시설', '필수', '시설', '제제', '대상', '제한', '정작', '코로나', '이후', '시행', '재난', '지원', '정책', '중', '단', '가지', '지원', '수', '책임', '권한', '동시', '것', '생각', '어린이', '전용', '시설', '그', '체육', '시설', '방역', '정부', '정책', '솔선수범', '지역', '사회', '공공', '이익', '이바지', '국가', '부', '터', '보호', '권리', '역시', '적극', '주장', '바', '이번', '코로나', '사태', '국가', '혼란', '경기', '침체', '자영', '업자', '몰락', '앞서', '바', '저', '역시', '사회', '구성원', '혼자', '어려움', '스스로', '위로', '하루하루', '버티고', '가장', '회사', '대표', '로서', '수', '책임감', '무게', '더', '수', '것', '저', '살']",Yes
"['코로나', '19', '집단', '감염', '요', '양', '병원', '등', '에', '긴급', '간호', '인력', '을', '투입', '시켜주십시요', '현재', '감염', '취약', '시설', '시설', '코로나', '집단', '감염', '사례', '급증', '병동', '이유', '이송', '대기', '중인', '환자', '집단', '격리', '제', '어머니', '그', '중', '질환', '가지', '그', '대한', '위험', '도', '중', '뿐', '요로감염', '욕창', '등', '질환', '발생', '아주', '취약', '상황', '확진', '간병인', '환자', '경우', '대부분', '간병인', '방치', '수준', '처', '긴급', '상황', '판단', '간호사', '최선', '다', '사람', '극한', '한계', '도달', '것', '병원', '이송', '긴급', '문제', '현재', '눈', '앞', '처', '상황', '안고', '관계', '당사자', '밤잠', '관계', '기관', '전화', '불통', '얘기', '상부', '지시', '현재', '발생', '대기', '환자', '중', '사망자', '어쩌면', '인재', '일', '수도', '어서', '긴급', '간호', '간병인', '투입', '시기']",No
"['방역', '홍보', '비', '1', '200억', '사용', '내', '역', '감사', '청구', '코로나', '백신', '한병도', '확보', '자랑', '것', '하나', '방역', '홍보', '사용', '어디', '감사', '청구']",Yes
"['잘', '못', '된', '소방', '법령', '적용', '으로', '운영', '중인', '지역', '아동', '센터', '이전', '하여야', '할', '위기', '코로나', '모든', '분야', '시기', '저', '부산', '사하구', '지역', '센터', '동안', '운영', '층', '주택', '건물', '층', '주택', '층', '지역', '아동', '센터', '이전', '현재', '동안', '지역', '센터', '운영', '금년', '중', '부산', '사하', '소방', '로부터', '소방', '안전', '점검', '결과', '피난', '기구', '부적정', '통보', '현재', '지역', '센터', '층', '출입구', '층', '비상구', '방향', '피난', '전혀', '지장', '소방', '법령', '지역', '센터', '대한', '건축물', '용도', '전혀', '규정', '건축법', '시행', '령', '별표', '주택', '건물', '주택', '공동', '주택', '건물', '공동', '주택', '제', '종', '린', '생활', '시설', '건물', '제', '종', '린', '생활', '시설', '명시', '소방관서', '단지', '아동복', '시설', '이유', '지역', '센터', '소방', '법규', '소방시설', '가장', '강화', '노유', '시설', '를', '적용', '피난', '기구', '최소', '설치', '비용', '약', '만원', '부적정', '통보', '지역', '아동', '센터', '설립', '입법', '취지', '무시', '소방관서', '행정', '편의', '주의', '공무원', '전횡', '생각', '소방관서', '전화', '차례', '항의', '공무원', '탁상', '행정', '소방', '행정', '편의', '주의', '심', '고통', '지역', '센터', '대부분', '단독주택', '및', '린', '생활', '시설', '등', '임차', '운영', '피난', '기구', '노유', '시설', '피난', '기구', '사실', '실정', '소방', '공무원', '탁상', '행정', '형식', '소방시설', '설치', '운영', '비', '비', '효율', '지출', '비', '생산', '비상', '적', '소방관서', '피난', '기구', '설치', '부적정', '통보', '이상', '운영', '중인', '건물', '대한', '소급입법', '위법', '행정행위', '법적', '용의', '형평성', '저촉', '법', '적용', '국민', '의무', '부담', '가중', '공무원', '위민', '의식', '사지', '입장', '소방', '본연', '봉사', '행정', '서비스', '정착', '위해', '법', '집행', '조속', '시일', '내', '해결', '시오', '지역', '아동', '센터', '정의', '지역', '센터', '아동복지법', '아동복', '시설', '하나로', '건축법', '용도', '별', '건축물', '분류', '단독주택', '형태', '경우', '단독주택', '주택', '형태', '경우', '주택', '해당', '그', '외', '경우', '제', '종', '린', '생활', '시설', '해당', '지역', '아동', '센터', '건축물', '용도', '아동복지법', '지역', '아동', '센터', '일명', '방과', '후', '부방', '초등학생', '고등학생', '대상', '일명', '부방', '학생', '방과', '후', '경', '귀가', '인원', '명', '내외', '각종', '학원', '내부', '시설', '아동복지법', '지역', '센터', '건축물', '용도', '주택', '공동', '주택', '및', '제', '종', '린', '생활', '시설', '장소', '규정', '함', '소방', '법규', '지역', '센터', '대한', '건축물', '용도', '명시', '규정', '단', '아동복', '시설', '이란', '명칭', '소방', '행정기관', '자의', '및', '소방', '행정', '편의', '주의', '해석', '소방', '시설', '가장', '강화', '노유', '시설', '로', '규정', '함', '건축법', '법규', '소방', '법규', '명시', '규정', '악의', '소방', '법규', '적용', '개인', '재산권', '침해', '소방', '법규', '건축', '허가', '등', '동의대', '물의', '범위', '등', '노유', '시설', '규정', '노인', '관련', '시설', '노인', '가복', '시설', '외한', '아동복', '시설', '아동', '담소', '아동', '전용', '시설', '및', '지역', '센터', '외한', '장애인', '생활', '시설', '및', '노숙인', '결핵', '환자', '한센', '생활', '노유', '시설', '관련', '근거', '소방시설', '설치', '유지', '및', '안전', '관리', '관', '법률', '시행', '령', '제', '제', '항', '제', '호', '지역', '아동', '센터', '피난', '시설', '적용', '문제점', '건물', '지역', '센터', '층', '출입구', '층', '비상구', '설치', '피난', '지장', '피난', '기구', '설치', '시', '오히려', '사용', '혼란', '초래', '다수', '인명', '피해', '발생', '이', '우려', '동안', '운영', '동일', '장소', '노유', '시설', '적용', '소급입법', '적용', '재산권', '침해', '대부분', '지역', '센터', '임차', '건물', '지방자치단체', '로부터', '보조금', '운영', '소방', '법규', '명시', '규정', '노유', '시설', '적용', '지역', '센터', '주택', '경우', '피난', '기구', '설치', '장소', '협소', '및', '설치', '외벽', '해체', '공사', '등', '실정', '임', '향후', '지역', '센터', '노유', '시설', '규정', '경우', '주택', '및', '공동', '주택', '소방', '법규', '사실', '설치', '피난', '시설', '외', '추가', '방염', '간이', '스프링클러', '시설', '등', '아동복지법', '취지', '괴리되어', '소방', '행정', '재량', '남용', '탈', '행위', '해당', '현재', '지역', '센터', '린', '생활', '시설', '간주', '대부분', '층', '이상', '지역', '아동', '센터', '건축물', '노유', '시설', '피난', '기구', '설치', '상태', '임', '지역', '센터', '노유', '시설', '적용', '경우', '일례', '노인', '재', '센터', '사무실', '용도', '도', '노유', '시설', '신생', '업종', '교실', '지역', '센터', '유사', '업종', '도', '노유', '시설', '규정', '경우', '소방', '행정', '편의', '주의', '자의', '법적', '국민', '권리', '침해', '소방', '법규', '악법', '국민', '뇌리', '각인', '것', '끝']",Yes
"['조정', '대상', '지역', '소급', '적용', '당장', '취소', '시켜주시기', '바랍니다', '갑작스레', '지역', '조정', '대상', '지역', '대출', '전혀', '안나', '상황', '해결', '하라', '의견', '저', '현재', '분양', '개', '하나', '매도', '세율', '조금', '시기', '내년', '명의', '변경', '예정', '계약', '완료', '제', '살집', '올해', '계약', '계약금', '및', '중도', '금', '납부', '완료', '조정', '대상', '지역', '모든', '은행', '대출', '입장', '현재', '보유', '분양', '매도', '조건', '대출', '살이', '다가', '집', '마련', '분양', '하나', '처분', '명의', '변경', '주택', '주택', '처분', '조건', '대출', '소리', '계속', '은행', '군데', '이상', '전부', '입장', '이구', '이번', '정부', '온갖', '부동산', '정책', '서민', '경제', '혼란', '임대차', '법', '법', '소급', '적용', '조정', '대상', '지역', '전', '계약', '사람', '바보', '정말', '치가', '정부', '정책', '이란', '국민', '의사결정', '때', '그', '당시', '상황', '조건', '행동', '국민', '당시', '상황', '조건', '보장', '기본', '정책', '입안', '마인드', '여야', '정부', '행동', '왜', '정부', '국민', '뒤통수', '당장', '집', '사람', '투기', '프레임', '다음', '온갖', '세금', '생각', '진정', '국민', '위', '정책', '당장', '저', '사람', '분양', '계약', '것', '중도', '금', '계약', '파기', '못', '구매', '집도', '중도', '금', '입금', '계약', '파기', '집', '구매', '현금', '집', '사람', '거의', '것', '알', '조정', '대상', '지역', '기전', '계약', '사람', '조건', '것', '적용', '상식', '걸', '정책', '실행', '의문', '조정', '대상', '지역', '이전', '분양', '계약', '아파트', '매수', '분양', '계약', '매도', '예정', '사람', '대해', '소급', '적용', '위헌', '생각', '조정', '대상', '지역', '이전', '계약', '건', '대해', '이전', '기준', '적용', '다시', '한번', '청원']",Yes
"['종교시설', '집합', '금지', '및', '폐쇄', '요청', '합니다', '현재', '코로나', '로', '국민', '모두', '고난', '시간', '모두', '사회', '거리', '기와', '모임', '자제', '참을성', '한계', '달', '듯', '학원', '카페', '식당', '등', '중소', '상인', '영리', '목적', '손실', '감수', '영업', '중단', '학생', '온라인', '대체', '수업', '진행', '종교', '시절', '비영리', '단체', '임', '전혀', '제재', '정부', '종교인', '눈치', '종교', '의문', '또한', '종교', '단체', '비영리단체', '세금', '내지', '문', '비', '대면', '진행', '전혀', '문제', '시설폐쇄', '이해', '종교', '자유', '보장', '비대', '면도', '궂', '모', '이유', '상인', '생계', '활동', '위해', '일', '권리', '또한', '불교', '천주교', '적극', '동참', '종교', '생각', '최근', '확', '진자', '곳', '보시', '와중', '전단지', '보고', '이제', '크리스마스', '종교시설', '통한', '코로나', '확산', '우려', '크게', '확산', '비영리단체', '종교', '단체', '손해', '요', '영리', '목적', '중소', '상인', '손', '요', '생각', '종교시설', '대한', '정부', '규제']",Yes
"['어려운시기에', '중소기업', '대표이사', '퇴직', '연금', '을', '사용', '할수', '있도록', '해주세요', '저', '서울', '종로', '중소기업', '운영', '대표이사', '코로나', '사태', '장기', '화로', '경기', '시장', '침체', '미주', '유럽', '수출', '보류', '상태', '매달', '직원', '월급', '매입', '결재', '회사', '운영', '비', '금융', '비용', '지출', '수입', '회사', '운영', '점점', '지고', '거의', '상태', '상황', '그', '국가', '부양', '정책', '발표', '실제', '금융기관', '대출', '상황', '그동안', '자금', '사용', '상황', '대표이사', '퇴직금', '자금', '사용', '것', '사용', '저희', '회사', '임', '직원', '퇴직금', '은행', '연금', '형태', '예치', '직원', '퇴사', '시', '퇴직', '급여', '지급', '대표이사', '대표이사', '직', '수', '대표이사', '자리', '것', '회사', '폐업', '저', '이', '시기', '은행', '예치', '대표이사', '퇴직', '급여', '회사', '운영', '도움', '대출', '사채', '사용', '것', '합리', '방법', '퇴직금', '본래', '취지', '사용', '경기', '때', '기업', '몸부림', '상황', '한시', '마', '대표이사', '퇴직', '연금', '사용', '수', '해주시', '한시', '중소기업', '대표이사', '퇴직', '연금', '사용', '가능', '지정', '회사', '수', '도', '시오', '회사', '직원', '생계', '유지', '그', '가족', '생활', '수', '코로나', '로', '정부', '국민', '모두', '감사', '다른', '나라', '방역', '협조', '대한민국', '국민', '긍지', '시간', '안', '사태', '종식', '일상', '찾기']",No
